function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N19-CF4-10D,NMMSO,current,0,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N19-CF4-10D,NMMSO,current,1,400000,8,80,0.3750,0.3750,0.1250,0.1250,0.1250
N19-CF4-10D,NMMSO,current,2,400000,8,70,0.3750,0.3750,0.3750,0.3750,0.3750
N19-CF4-10D,NMMSO,current,3,400000,8,100,0.3750,0.3750,0.2500,0.2500,0.2500
N19-CF4-10D,NMMSO,current,4,400000,8,100,0.3750,0.3750,0.3750,0.2500,0.1250
N19-CF4-10D,NMMSO,current,5,400000,8,100,0.0000,0.0000,0.0000,0.0000,0.0000
N19-CF4-10D,NMMSO,current,6,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.0000
N19-CF4-10D,NMMSO,current,7,400000,8,100,0.1250,0.1250,0.0000,0.0000,0.0000
N19-CF4-10D,NMMSO,current,8,400000,8,100,0.1250,0.1250,0.0000,0.0000,0.0000
N19-CF4-10D,NMMSO,current,9,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
N19-CF4-10D,NMMSO,current,10,400000,8,98,0.2500,0.2500,0.2500,0.1250,0.1250
N19-CF4-10D,NMMSO,current,11,400000,8,100,0.1250,0.1250,0.1250,0.1250,0.1250
