function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
M01-D10-PIN01,Restart-Lander-3000,current,0,500000,20,100,0.4000,0.4000,0.4000,0.4000,0.4000
M02-D10-PIN01,Restart-Lander-3000,current,0,500000,20,100,0.3000,0.3000,0.3000,0.3000,0.3000
M03-D10-PIN01,Restart-Lander-3000,current,0,500000,20,100,0.4500,0.3000,0.2000,0.0000,0.0000
M04-D10-PIN01,Restart-Lander-3000,current,0,500000,20,100,0.3000,0.3000,0.3000,0.3000,0.3000
M05-D10-PIN01,Restart-Lander-3000,current,0,500000,20,100,0.5000,0.5000,0.5000,0.5000,0.5000
M06-D10-PIN01,Restart-Lander-3000,current,0,500000,20,100,0.4000,0.4000,0.4000,0.4000,0.4000
M07-D10-PIN01,Restart-Lander-3000,current,0,500000,20,100,0.4000,0.4000,0.4000,0.4000,0.3000
M08-D10-PIN01,Restart-Lander-3000,current,0,500000,20,100,0.7000,0.7000,0.7000,0.7000,0.7000
M09-D10-PIN01,Restart-Lander-3000,current,0,500000,10,100,0.4000,0.4000,0.4000,0.4000,0.4000
M10-D10-PIN01,Restart-Lander-3000,current,0,500000,10,100,0.3000,0.3000,0.3000,0.3000,0.3000
M11-D10-PIN01,Restart-Lander-3000,current,0,500000,10,100,0.5000,0.3000,0.2000,0.1000,0.0000
M12-D10-PIN01,Restart-Lander-3000,current,0,500000,10,100,0.2000,0.2000,0.2000,0.2000,0.2000
M13-D10-PIN01,Restart-Lander-3000,current,0,500000,10,100,0.5000,0.5000,0.5000,0.5000,0.5000
M14-D10-PIN01,Restart-Lander-3000,current,0,500000,10,100,0.4000,0.4000,0.4000,0.4000,0.4000
M15-D10-PIN01,Restart-Lander-3000,current,0,500000,10,100,0.1000,0.1000,0.1000,0.1000,0.1000
M16-D10-PIN01,Restart-Lander-3000,current,0,500000,10,100,0.7000,0.7000,0.7000,0.7000,0.6000
M01-D10-PIN01,Restart-Lander-6000,current,0,500000,20,100,0.8000,0.6500,0.5500,0.5500,0.5000
M02-D10-PIN01,Restart-Lander-6000,current,0,500000,20,90,0.6000,0.6000,0.6000,0.5500,0.4000
M03-D10-PIN01,Restart-Lander-6000,current,0,500000,20,84,0.6000,0.5000,0.5000,0.4000,0.4000
M04-D10-PIN01,Restart-Lander-6000,current,0,500000,20,100,0.4500,0.4500,0.4500,0.4500,0.4500
M05-D10-PIN01,Restart-Lander-6000,current,0,500000,20,100,0.6500,0.6500,0.6500,0.6500,0.6500
M06-D10-PIN01,Restart-Lander-6000,current,0,500000,20,100,0.4000,0.4000,0.4000,0.4000,0.4000
M07-D10-PIN01,Restart-Lander-6000,current,0,500000,20,100,0.4500,0.4500,0.4500,0.4500,0.4000
M08-D10-PIN01,Restart-Lander-6000,current,0,500000,20,100,0.6500,0.6500,0.6500,0.6500,0.6500
M09-D10-PIN01,Restart-Lander-6000,current,0,500000,10,96,0.5000,0.5000,0.4000,0.4000,0.4000
M10-D10-PIN01,Restart-Lander-6000,current,0,500000,10,86,1.0000,1.0000,1.0000,0.5000,0.3000
M11-D10-PIN01,Restart-Lander-6000,current,0,500000,10,84,0.5000,0.4000,0.4000,0.4000,0.4000
M12-D10-PIN01,Restart-Lander-6000,current,0,500000,10,100,0.4000,0.4000,0.4000,0.4000,0.4000
M13-D10-PIN01,Restart-Lander-6000,current,0,500000,10,100,0.8000,0.8000,0.8000,0.8000,0.8000
M14-D10-PIN01,Restart-Lander-6000,current,0,500000,10,100,0.3000,0.3000,0.3000,0.3000,0.3000
M15-D10-PIN01,Restart-Lander-6000,current,0,500000,10,100,0.3000,0.3000,0.3000,0.3000,0.3000
M16-D10-PIN01,Restart-Lander-6000,current,0,500000,10,100,0.7000,0.7000,0.7000,0.7000,0.7000
