function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N16-CF3-5D,NMMSO,current,0,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,NMMSO,current,1,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,NMMSO,current,2,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,NMMSO,current,3,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,NMMSO,current,4,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,NMMSO,current,5,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,NMMSO,current,6,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,NMMSO,current,7,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,NMMSO,current,8,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,NMMSO,current,9,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,NMMSO,current,10,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
N16-CF3-5D,NMMSO,current,11,400000,6,100,0.6667,0.6667,0.6667,0.6667,0.6667
