function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,13,12,-1,-1,13,1,54,28,28,28,28,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,12,12,-1,-1,21,9,54,28,28,28,26,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,13,13,-1,-1,18,5,55,29,29,29,28,8.526512829121202e-14
N06-Shubert2D,18,0.1,3,20000,100,17,16,-1,-1,37,21,53,27,27,27,26,1.4210854715202004e-13
N06-Shubert2D,18,0.1,4,20000,100,15,14,-1,-1,14,0,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.1,5,20000,100,17,16,-1,-1,36,20,55,29,29,29,28,8.526512829121202e-14
N06-Shubert2D,18,0.1,6,20000,100,17,13,-1,-1,14,1,54,28,28,28,28,1.1368683772161603e-13
N06-Shubert2D,18,0.1,7,20000,100,14,14,-1,-1,14,0,53,27,27,27,27,1.1368683772161603e-13
N06-Shubert2D,18,0.1,8,20000,100,14,13,-1,-1,33,20,54,28,28,28,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,9,20000,100,16,13,-1,-1,33,20,54,28,28,28,28,8.526512829121202e-14
N06-Shubert2D,18,0.1,10,20000,100,13,13,-1,-1,18,5,55,29,29,29,29,8.526512829121202e-14
N06-Shubert2D,18,0.1,11,20000,100,14,14,-1,-1,28,14,55,29,29,29,29,8.526512829121202e-14
N06-Shubert2D,18,0.1,12,20000,100,13,13,-1,-1,19,6,55,29,29,29,28,1.4210854715202004e-13
N06-Shubert2D,18,0.1,13,20000,100,16,14,-1,-1,22,8,54,28,28,28,26,8.526512829121202e-14
N06-Shubert2D,18,0.1,14,20000,100,11,11,-1,-1,17,6,54,28,28,28,28,1.4210854715202004e-13
N06-Shubert2D,18,0.1,15,20000,100,14,13,-1,-1,32,19,54,28,28,28,26,8.526512829121202e-14
N06-Shubert2D,18,0.1,16,20000,100,12,11,-1,-1,12,1,52,26,26,26,25,1.4210854715202004e-13
N06-Shubert2D,18,0.1,17,20000,100,16,16,-1,-1,17,1,53,27,27,27,26,1.1368683772161603e-13
N06-Shubert2D,18,0.1,18,20000,100,13,13,-1,-1,32,19,55,29,29,29,28,8.526512829121202e-14
N06-Shubert2D,18,0.1,19,20000,100,15,15,-1,-1,15,0,53,27,27,27,26,5.684341886080802e-14
N06-Shubert2D,18,0.1,20,20000,100,14,13,-1,-1,13,0,54,28,28,28,28,8.526512829121202e-14
N06-Shubert2D,18,0.1,21,20000,100,16,16,-1,-1,23,7,53,27,27,27,24,1.7053025658242404e-13
N06-Shubert2D,18,0.1,22,20000,100,14,14,-1,-1,24,10,53,27,26,27,26,8.526512829121202e-14
N06-Shubert2D,18,0.1,23,20000,100,14,14,-1,-1,15,1,53,27,27,27,26,8.526512829121202e-14
N06-Shubert2D,18,0.1,24,20000,100,16,16,-1,-1,33,17,56,30,30,30,29,8.526512829121202e-14
N06-Shubert2D,18,0.1,25,20000,100,13,13,-1,-1,13,0,54,28,28,28,28,8.526512829121202e-14
N06-Shubert2D,18,0.1,26,20000,100,15,14,-1,-1,28,14,53,27,27,27,27,1.4210854715202004e-13
N06-Shubert2D,18,0.1,27,20000,100,18,16,-1,-1,16,0,54,28,28,28,28,1.1368683772161603e-13
N06-Shubert2D,18,0.1,28,20000,100,15,14,-1,-1,14,0,54,28,28,28,28,1.1368683772161603e-13
N06-Shubert2D,18,0.1,29,20000,100,14,13,-1,-1,14,1,53,27,27,27,27,1.4210854715202004e-13
N06-Shubert2D,18,0.001,0,20000,100,12,12,-1,-1,13,1,54,28,28,28,27,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,12,12,-1,-1,21,9,54,28,28,28,26,8.526512829121202e-14
