function,seed,div_ev,bank_ev,base_best_f,var_best_f,base_succ_ev,var_succ_ev,n_fire,same
F04-BucheRastrigin,0,1758,3797,0.0,0.9949590575598108,3570,-1,56,False
F04-BucheRastrigin,1,3994,2443,0.0,0.0,2232,2232,54,True
F04-BucheRastrigin,2,4128,2592,0.0,0.0,2247,2247,53,True
F04-BucheRastrigin,3,1658,3972,0.0,0.0,3602,2896,29,True
F04-BucheRastrigin,4,4493,2982,0.0,0.0,2572,2572,46,True
F04-BucheRastrigin,5,1833,3462,0.0,0.0,3155,3716,14,True
F04-BucheRastrigin,6,4163,2721,0.0,0.0,2512,2512,55,True
F04-BucheRastrigin,7,2083,3776,9.250554171558178e-07,0.0007753466023245892,-1,-1,45,False
F04-BucheRastrigin,8,-1,1853,0.0,0.0,1338,1338,28,True
F04-BucheRastrigin,9,-1,1768,0.0,0.0,1313,1313,39,True
F04-BucheRastrigin,10,4612,3116,0.0,0.0,2761,2761,37,True
F04-BucheRastrigin,11,1688,3302,0.0,0.0,2837,3241,32,True
F04-BucheRastrigin,12,2183,3771,0.0,0.9949590575049001,3522,-1,56,False
F04-BucheRastrigin,13,3743,2246,1.1368683772161603e-13,5.684341886080802e-14,1959,1959,54,False
F04-BucheRastrigin,14,1613,4822,0.0,0.0,4512,3141,20,True
F04-BucheRastrigin,15,-1,1828,0.0,0.0,1469,1469,38,True
F04-BucheRastrigin,16,4358,2886,0.0,0.0,2402,2402,43,True
F04-BucheRastrigin,17,3903,2262,0.0,0.0,2002,2002,22,True
F04-BucheRastrigin,18,1613,2887,0.0,1.1697901186380477e-05,2682,-1,62,False
F04-BucheRastrigin,19,1638,4307,0.0,0.0,3991,3357,25,True
F08-Rosenbrock,0,2880,1494,0.0,0.0,907,907,72,True
F08-Rosenbrock,1,3240,1597,0.0,0.0,1341,1341,97,True
F08-Rosenbrock,2,2545,1274,0.0,0.0,742,742,151,True
F08-Rosenbrock,3,2390,1013,0.0,0.0,742,742,88,True
F08-Rosenbrock,4,2560,1170,0.0,0.0,961,961,108,True
F08-Rosenbrock,5,2620,1323,0.0,0.0,942,942,90,True
F08-Rosenbrock,6,3065,1783,0.0,0.0,1416,1416,77,True
F08-Rosenbrock,7,2640,1274,0.0,0.0,758,758,94,True
F08-Rosenbrock,8,2335,981,0.0,0.0,602,602,107,True
F08-Rosenbrock,9,2435,1123,0.0,0.0,794,794,90,True
F08-Rosenbrock,10,2995,1563,0.0,0.0,1307,1307,99,True
F08-Rosenbrock,11,2655,1344,0.0,0.0,782,782,95,True
F08-Rosenbrock,12,2670,1367,0.0,0.0,957,957,101,True
F08-Rosenbrock,13,2540,1187,0.0,0.0,818,818,115,True
F08-Rosenbrock,14,2380,1129,0.0,0.0,763,763,95,True
F08-Rosenbrock,15,2865,1453,0.0,0.0,1024,1024,81,True
F08-Rosenbrock,16,3250,1606,0.0,0.0,1336,1336,111,True
F08-Rosenbrock,17,2410,1188,0.0,0.0,732,732,93,True
F08-Rosenbrock,18,3120,1475,0.0,0.0,1002,1002,139,True
F08-Rosenbrock,19,2635,1304,0.0,0.0,843,843,101,True
F12-BentCigar,0,2645,1314,0.0,0.0,914,914,84,True
F12-BentCigar,1,2645,1384,0.0,0.0,988,988,91,True
F12-BentCigar,2,2605,1383,0.0,0.0,1065,1065,70,True
F12-BentCigar,3,2725,1503,0.0,0.0,1082,1082,70,True
F12-BentCigar,4,2595,1373,0.0,0.0,919,919,76,True
F12-BentCigar,5,2545,1208,0.0,0.0,832,832,77,True
F12-BentCigar,6,2695,1309,0.0,0.0,824,824,71,True
F12-BentCigar,7,2570,1348,0.0,0.0,964,964,87,True
F12-BentCigar,8,2555,1333,0.0,0.0,1024,1024,90,True
F12-BentCigar,9,2675,1454,0.0,0.0,909,909,87,True
F12-BentCigar,10,2740,1313,0.0,0.0,1044,1044,89,True
F12-BentCigar,11,2455,1233,0.0,0.0,953,953,102,True
F12-BentCigar,12,2550,1303,0.0,0.0,1058,1058,73,True
F12-BentCigar,13,2490,1060,0.0,0.0,971,971,85,True
F12-BentCigar,14,2430,1179,0.0,0.0,939,939,81,True
F12-BentCigar,15,2555,1330,0.0,0.0,1144,1144,87,True
F12-BentCigar,16,2705,1484,0.0,0.0,998,998,72,True
F12-BentCigar,17,2490,1269,0.0,0.0,868,868,69,True
F12-BentCigar,18,2480,1258,0.0,0.0,973,973,71,True
F12-BentCigar,19,2635,1413,0.0,0.0,1083,1083,78,True
F16-Weierstrass,0,2475,974,0.0,0.0,748,748,101,True
F16-Weierstrass,1,3319,1810,0.0,0.0,1752,1752,48,True
F16-Weierstrass,2,2600,959,0.0,0.0,898,898,69,True
F16-Weierstrass,3,2625,1164,0.0,0.0,1021,1021,75,True
F16-Weierstrass,4,2250,741,0.0,0.0,728,728,95,True
F16-Weierstrass,5,2585,1024,0.0,0.0,918,918,103,True
F16-Weierstrass,6,2405,894,0.0,0.0,788,788,74,True
F16-Weierstrass,7,2525,1087,0.0,0.0,929,929,71,True
F16-Weierstrass,8,2355,833,0.0,0.0,769,769,71,True
F16-Weierstrass,9,2485,1035,0.0,0.0,894,894,79,True
F16-Weierstrass,10,2920,1277,0.0,0.0,1144,1144,46,True
F16-Weierstrass,11,2410,993,0.0,0.0,948,948,101,True
