function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N07-Vincent2D,36,0.1,11,20000,100,36,10,36,100,10,0,76,50,50,50,50,0.0
N07-Vincent2D,36,0.1,12,20000,100,36,11,36,100,11,0,67,41,41,41,41,0.0
N07-Vincent2D,36,0.1,13,20000,100,36,19,36,100,19,0,77,51,51,51,51,0.0
N07-Vincent2D,36,0.1,14,20000,100,36,12,36,100,12,0,75,49,49,49,49,0.0
N07-Vincent2D,36,0.001,0,20000,100,12,11,12,100,11,0,79,53,53,53,53,0.0
N07-Vincent2D,36,0.001,1,20000,100,13,11,13,100,13,2,74,48,48,48,46,0.0
N07-Vincent2D,36,0.001,2,20000,100,16,14,16,100,33,19,72,46,46,46,45,0.0
N07-Vincent2D,36,0.001,3,20000,100,15,13,15,100,17,4,75,49,49,49,49,0.0
N07-Vincent2D,36,0.001,4,20000,100,18,15,18,100,18,3,73,47,47,47,47,0.0
N07-Vincent2D,36,0.001,5,20000,100,15,14,15,100,30,16,79,53,53,53,53,0.0
N07-Vincent2D,36,0.001,6,20000,100,14,14,14,100,24,10,78,52,52,52,50,0.0
N07-Vincent2D,36,0.001,7,20000,100,16,12,16,100,14,2,72,46,46,46,44,0.0
N07-Vincent2D,36,0.001,8,20000,100,13,12,13,100,13,1,80,54,54,54,51,0.0
N07-Vincent2D,36,0.001,9,20000,100,15,10,15,100,10,0,70,44,44,44,44,0.0
N07-Vincent2D,36,0.001,10,20000,100,13,12,13,100,12,0,79,53,53,53,53,0.0
N07-Vincent2D,36,0.001,11,20000,100,11,10,11,100,10,0,76,50,50,50,49,0.0
N07-Vincent2D,36,0.001,12,20000,100,13,11,13,100,11,0,67,41,41,41,38,0.0
N07-Vincent2D,36,0.001,13,20000,100,15,14,15,100,19,5,77,51,51,51,50,0.0
N07-Vincent2D,36,0.001,14,20000,100,15,12,15,100,12,0,75,49,49,49,49,0.0
N07-Vincent2D,36,1e-05,0,20000,100,11,11,11,100,11,0,79,53,53,53,53,0.0
N07-Vincent2D,36,1e-05,1,20000,100,11,11,11,100,13,2,74,48,48,48,46,0.0
N07-Vincent2D,36,1e-05,2,20000,100,12,12,12,100,33,21,72,46,46,46,40,0.0
N07-Vincent2D,36,1e-05,3,20000,100,14,13,14,100,17,4,75,49,49,49,49,0.0
N07-Vincent2D,36,1e-05,4,20000,100,14,14,14,100,18,4,73,47,47,47,46,0.0
N07-Vincent2D,36,1e-05,5,20000,100,14,14,14,100,30,16,79,53,53,53,53,0.0
N07-Vincent2D,36,1e-05,6,20000,100,14,14,14,100,24,10,78,52,52,52,50,0.0
N07-Vincent2D,36,1e-05,7,20000,100,11,11,11,100,14,3,72,46,46,46,42,0.0
N07-Vincent2D,36,1e-05,8,20000,100,12,12,12,100,13,1,80,54,54,54,51,0.0
N07-Vincent2D,36,1e-05,9,20000,100,10,10,10,100,10,0,70,44,44,44,42,0.0
N07-Vincent2D,36,1e-05,10,20000,100,12,12,12,100,12,0,79,53,53,53,53,0.0
N07-Vincent2D,36,1e-05,11,20000,100,10,10,10,100,10,0,76,50,50,50,48,0.0
N07-Vincent2D,36,1e-05,12,20000,100,9,9,9,100,11,2,67,41,41,41,35,0.0
N07-Vincent2D,36,1e-05,13,20000,100,13,13,13,100,19,6,77,51,51,51,49,0.0
N07-Vincent2D,36,1e-05,14,20000,100,13,12,13,100,12,0,75,49,49,49,49,0.0
