function,method,seed,scenario,regret,wiped
F01-Sphere,MC-ESO,0,15,0,0
F01-Sphere,MC-ESO,0,16,0.0445575,1
F01-Sphere,MC-ESO,0,17,0,0
F01-Sphere,MC-ESO,0,18,0,0
F01-Sphere,MC-ESO,0,19,0.192153,1
F01-Sphere,MC-ESO,0,20,0,0
F01-Sphere,MC-ESO,0,21,0.23952,1
F01-Sphere,MC-ESO,0,22,0,0
F01-Sphere,MC-ESO,0,23,0.145911,1
F01-Sphere,MC-ESO,0,24,0.117179,0
F01-Sphere,MC-ESO,0,25,0,0
F01-Sphere,MC-ESO,0,26,0,0
F01-Sphere,MC-ESO,0,27,0,0
F01-Sphere,MC-ESO,0,28,0,0
F01-Sphere,MC-ESO,0,29,0,0
F01-Sphere,MC-ESO,0,30,0.0291858,1
F01-Sphere,MC-ESO,0,31,0.0717096,1
F01-Sphere,MC-ESO,0,32,0,1
F01-Sphere,MC-ESO,0,33,0,0
F01-Sphere,MC-ESO,0,34,0.584283,0
F01-Sphere,MC-ESO,0,35,0,0
F01-Sphere,MC-ESO,0,36,0.183894,1
F01-Sphere,MC-ESO,0,37,0,0
F01-Sphere,MC-ESO,0,38,0.156717,1
F01-Sphere,MC-ESO,0,39,0,0
F01-Sphere,MC-ESO,0,40,0,0
F01-Sphere,MC-ESO,0,41,0.134589,1
F01-Sphere,MC-ESO,0,42,0,0
F01-Sphere,MC-ESO,0,43,9.66491,1
F01-Sphere,MC-ESO,0,44,0,0
F01-Sphere,NMMSO,0,15,0,0
F01-Sphere,NMMSO,0,16,0.201594,1
F01-Sphere,NMMSO,0,17,0,0
F01-Sphere,NMMSO,0,18,0,0
F01-Sphere,NMMSO,0,19,0.209439,1
F01-Sphere,NMMSO,0,20,0,0
F01-Sphere,NMMSO,0,21,0.23952,1
F01-Sphere,NMMSO,0,22,0,0
F01-Sphere,NMMSO,0,23,0.145911,1
F01-Sphere,NMMSO,0,24,9.91975,1
F01-Sphere,NMMSO,0,25,0,0
F01-Sphere,NMMSO,0,26,0,0
F01-Sphere,NMMSO,0,27,0,0
F01-Sphere,NMMSO,0,28,0,0
F01-Sphere,NMMSO,0,29,0,0
F01-Sphere,NMMSO,0,30,0.0291857,1
F01-Sphere,NMMSO,0,31,0.0717095,1
F01-Sphere,NMMSO,0,32,0.194503,1
F01-Sphere,NMMSO,0,33,0,0
F01-Sphere,NMMSO,0,34,10.0183,1
F01-Sphere,NMMSO,0,35,0,0
F01-Sphere,NMMSO,0,36,0.183894,1
F01-Sphere,NMMSO,0,37,0,0
F01-Sphere,NMMSO,0,38,0.156717,1
F01-Sphere,NMMSO,0,39,0,0
F01-Sphere,NMMSO,0,40,9.80145,1
F01-Sphere,NMMSO,0,41,0.134589,1
F01-Sphere,NMMSO,0,42,0,0
F01-Sphere,NMMSO,0,43,9.91335,1
F01-Sphere,NMMSO,0,44,0,0
F01-Sphere,NCDE,0,15,0,0
F01-Sphere,NCDE,0,16,0.201594,1
F01-Sphere,NCDE,0,17,0,0
F01-Sphere,NCDE,0,18,0,0
F01-Sphere,NCDE,0,19,0.209439,0
F01-Sphere,NCDE,0,20,0,0
F01-Sphere,NCDE,0,21,0.0996612,0
F01-Sphere,NCDE,0,22,0,0
F01-Sphere,NCDE,0,23,0.145911,0
F01-Sphere,NCDE,0,24,0.760745,0
F01-Sphere,NCDE,0,25,0,0
F01-Sphere,NCDE,0,26,0,0
F01-Sphere,NCDE,0,27,0,0
F01-Sphere,NCDE,0,28,0,0
F01-Sphere,NCDE,0,29,0,0
F01-Sphere,NCDE,0,30,0.0291858,0
F01-Sphere,NCDE,0,31,0.0717095,0
F01-Sphere,NCDE,0,32,0.194503,0
F01-Sphere,NCDE,0,33,0,0
F01-Sphere,NCDE,0,34,10.0183,0
F01-Sphere,NCDE,0,35,0,0
F01-Sphere,NCDE,0,36,0.183894,1
F01-Sphere,NCDE,0,37,0,0
F01-Sphere,NCDE,0,38,0.156717,1
F01-Sphere,NCDE,0,39,0,0
F01-Sphere,NCDE,0,40,0.891043,0
F01-Sphere,NCDE,0,41,0.134589,0
F01-Sphere,NCDE,0,42,0,0
F01-Sphere,NCDE,0,43,9.91335,0
F01-Sphere,NCDE,0,44,0,0
F01-Sphere,r3pso,0,15,0,0
F01-Sphere,r3pso,0,16,0.201594,1
F01-Sphere,r3pso,0,17,0,0
F01-Sphere,r3pso,0,18,0,0
F01-Sphere,r3pso,0,19,0.209439,1
F01-Sphere,r3pso,0,20,0,0
F01-Sphere,r3pso,0,21,0.23952,1
F01-Sphere,r3pso,0,22,0,0
F01-Sphere,r3pso,0,23,0.145911,1
F01-Sphere,r3pso,0,24,9.91975,1
F01-Sphere,r3pso,0,25,0,0
F01-Sphere,r3pso,0,26,0,0
F01-Sphere,r3pso,0,27,0,0
F01-Sphere,r3pso,0,28,0,0
F01-Sphere,r3pso,0,29,0,0
F01-Sphere,r3pso,0,30,0.0291858,1
F01-Sphere,r3pso,0,31,0.0717095,1
F01-Sphere,r3pso,0,32,0.194503,1
F01-Sphere,r3pso,0,33,0,0
F01-Sphere,r3pso,0,34,10.0183,1
F01-Sphere,r3pso,0,35,0,0
F01-Sphere,r3pso,0,36,0.183894,1
F01-Sphere,r3pso,0,37,0,0
F01-Sphere,r3pso,0,38,0.156717,1
F01-Sphere,r3pso,0,39,0,0
F01-Sphere,r3pso,0,40,9.80145,1
F01-Sphere,r3pso,0,41,0.134589,1
F01-Sphere,r3pso,0,42,0,0
F01-Sphere,r3pso,0,43,9.91335,1
F01-Sphere,r3pso,0,44,0,0
F01-Sphere,NM-Restart,0,15,0,0
F01-Sphere,NM-Restart,0,16,0.201594,1
F01-Sphere,NM-Restart,0,17,0,0
F01-Sphere,NM-Restart,0,18,0,0
F01-Sphere,NM-Restart,0,19,0.209439,1
F01-Sphere,NM-Restart,0,20,0,0
F01-Sphere,NM-Restart,0,21,0.23952,1
F01-Sphere,NM-Restart,0,22,0,0
