function,method,seed,scenario,regret
F01-Sphere,MC-ESO,0,15,2.02271
F01-Sphere,MC-ESO,0,16,0
F01-Sphere,MC-ESO,0,17,0.183199
F01-Sphere,MC-ESO,0,18,0
F01-Sphere,MC-ESO,0,19,16.0601
F01-Sphere,MC-ESO,0,20,0
F01-Sphere,MC-ESO,0,21,0
F01-Sphere,MC-ESO,0,22,0
F01-Sphere,MC-ESO,0,23,0.244933
F01-Sphere,MC-ESO,0,24,11.9838
F01-Sphere,MC-ESO,0,25,0.545644
F01-Sphere,MC-ESO,0,26,0
F01-Sphere,MC-ESO,0,27,0.93591
F01-Sphere,MC-ESO,0,28,0.350204
F01-Sphere,MC-ESO,0,29,0
F01-Sphere,MC-ESO,0,30,0.0130566
F01-Sphere,MC-ESO,0,31,3.38002
F01-Sphere,MC-ESO,0,32,0
F01-Sphere,MC-ESO,0,33,0.360311
F01-Sphere,MC-ESO,0,34,0
F01-Sphere,MC-ESO,0,35,0
F01-Sphere,MC-ESO,0,36,0
F01-Sphere,MC-ESO,0,37,1.24836
F01-Sphere,MC-ESO,0,38,8.67606
F01-Sphere,MC-ESO,0,39,7.84109
F01-Sphere,MC-ESO,0,40,0.281491
F01-Sphere,MC-ESO,0,41,0
F01-Sphere,MC-ESO,0,42,13.2019
F01-Sphere,MC-ESO,0,43,1.28576
F01-Sphere,MC-ESO,0,44,0
F01-Sphere,NMMSO,0,15,0.602655
F01-Sphere,NMMSO,0,16,5.9046
F01-Sphere,NMMSO,0,17,1.09895
F01-Sphere,NMMSO,0,18,2.01027
F01-Sphere,NMMSO,0,19,21.9238
F01-Sphere,NMMSO,0,20,4.20164
F01-Sphere,NMMSO,0,21,5.46842
F01-Sphere,NMMSO,0,22,4.88769
F01-Sphere,NMMSO,0,23,1.77985
F01-Sphere,NMMSO,0,24,0
F01-Sphere,NMMSO,0,25,2.45996
F01-Sphere,NMMSO,0,26,4.91764
F01-Sphere,NMMSO,0,27,3.98535
F01-Sphere,NMMSO,0,28,3.56239
F01-Sphere,NMMSO,0,29,5.89864
F01-Sphere,NMMSO,0,30,0.753596
F01-Sphere,NMMSO,0,31,6.01543
F01-Sphere,NMMSO,0,32,2.93598
F01-Sphere,NMMSO,0,33,7.79213
F01-Sphere,NMMSO,0,34,1.51013
F01-Sphere,NMMSO,0,35,6.55947
F01-Sphere,NMMSO,0,36,5.31893
F01-Sphere,NMMSO,0,37,4.12076
F01-Sphere,NMMSO,0,38,0
F01-Sphere,NMMSO,0,39,0
F01-Sphere,NMMSO,0,40,0.589648
F01-Sphere,NMMSO,0,41,6.95343
F01-Sphere,NMMSO,0,42,0
F01-Sphere,NMMSO,0,43,3.08553
F01-Sphere,NMMSO,0,44,7.04237
F01-Sphere,NCDE,0,15,0.467913
F01-Sphere,NCDE,0,16,5.9046
F01-Sphere,NCDE,0,17,0
F01-Sphere,NCDE,0,18,2.01027
F01-Sphere,NCDE,0,19,0
F01-Sphere,NCDE,0,20,4.20164
F01-Sphere,NCDE,0,21,5.46842
F01-Sphere,NCDE,0,22,4.88769
F01-Sphere,NCDE,0,23,1.77985
F01-Sphere,NCDE,0,24,9.31294
F01-Sphere,NCDE,0,25,0.959076
F01-Sphere,NCDE,0,26,4.91764
F01-Sphere,NCDE,0,27,1.18811
F01-Sphere,NCDE,0,28,0.20355
F01-Sphere,NCDE,0,29,0.585821
F01-Sphere,NCDE,0,30,0.753596
F01-Sphere,NCDE,0,31,0.204339
F01-Sphere,NCDE,0,32,2.93598
F01-Sphere,NCDE,0,33,0
F01-Sphere,NCDE,0,34,1.51013
F01-Sphere,NCDE,0,35,0.524578
F01-Sphere,NCDE,0,36,5.31893
F01-Sphere,NCDE,0,37,1.7443
F01-Sphere,NCDE,0,38,7.09909
F01-Sphere,NCDE,0,39,4.82982
F01-Sphere,NCDE,0,40,0.589648
F01-Sphere,NCDE,0,41,1.56812
F01-Sphere,NCDE,0,42,10.0814
F01-Sphere,NCDE,0,43,0.969307
F01-Sphere,NCDE,0,44,7.04237
F01-Sphere,r3pso,0,15,4.70532
F01-Sphere,r3pso,0,16,5.9046
F01-Sphere,r3pso,0,17,1.09895
F01-Sphere,r3pso,0,18,2.01027
F01-Sphere,r3pso,0,19,21.9238
F01-Sphere,r3pso,0,20,4.20164
F01-Sphere,r3pso,0,21,5.46842
F01-Sphere,r3pso,0,22,4.88769
F01-Sphere,r3pso,0,23,1.77985
F01-Sphere,r3pso,0,24,15.8792
F01-Sphere,r3pso,0,25,2.45996
F01-Sphere,r3pso,0,26,4.91764
F01-Sphere,r3pso,0,27,3.98535
F01-Sphere,r3pso,0,28,3.56239
F01-Sphere,r3pso,0,29,5.89864
F01-Sphere,r3pso,0,30,0.753596
F01-Sphere,r3pso,0,31,6.01543
F01-Sphere,r3pso,0,32,2.93598
F01-Sphere,r3pso,0,33,7.79213
F01-Sphere,r3pso,0,34,1.51013
F01-Sphere,r3pso,0,35,6.55947
F01-Sphere,r3pso,0,36,5.31893
F01-Sphere,r3pso,0,37,4.12076
F01-Sphere,r3pso,0,38,12.2124
F01-Sphere,r3pso,0,39,11.7412
F01-Sphere,r3pso,0,40,0.589648
F01-Sphere,r3pso,0,41,6.95343
F01-Sphere,r3pso,0,42,17.2245
F01-Sphere,r3pso,0,43,3.08553
F01-Sphere,r3pso,0,44,7.04237
F01-Sphere,NM-Restart,0,15,4.70532
F01-Sphere,NM-Restart,0,16,5.9046
F01-Sphere,NM-Restart,0,17,1.09895
F01-Sphere,NM-Restart,0,18,2.01027
F01-Sphere,NM-Restart,0,19,21.9238
F01-Sphere,NM-Restart,0,20,4.20164
F01-Sphere,NM-Restart,0,21,5.46842
F01-Sphere,NM-Restart,0,22,4.88769
F01-Sphere,NM-Restart,0,23,1.77985
F01-Sphere,NM-Restart,0,24,15.8792
F01-Sphere,NM-Restart,0,25,2.45996
F01-Sphere,NM-Restart,0,26,4.91764
F01-Sphere,NM-Restart,0,27,3.98535
F01-Sphere,NM-Restart,0,28,3.56239
F01-Sphere,NM-Restart,0,29,5.89864
F01-Sphere,NM-Restart,0,30,0.753596
F01-Sphere,NM-Restart,0,31,6.01543
F01-Sphere,NM-Restart,0,32,2.93598
F01-Sphere,NM-Restart,0,33,7.79213
F01-Sphere,NM-Restart,0,34,1.51013
F01-Sphere,NM-Restart,0,35,6.55947
F01-Sphere,NM-Restart,0,36,5.31893
F01-Sphere,NM-Restart,0,37,4.12076
F01-Sphere,NM-Restart,0,38,12.2124
F01-Sphere,NM-Restart,0,39,11.7412
F01-Sphere,NM-Restart,0,40,0.589648
F01-Sphere,NM-Restart,0,41,6.95343
F01-Sphere,NM-Restart,0,42,17.2245
F01-Sphere,NM-Restart,0,43,3.08553
F01-Sphere,NM-Restart,0,44,7.04237
F01-Sphere,IPOP-CMA-ES,0,15,4.70532
F01-Sphere,IPOP-CMA-ES,0,16,5.9046
F01-Sphere,IPOP-CMA-ES,0,17,1.09895
F01-Sphere,IPOP-CMA-ES,0,18,2.01026
F01-Sphere,IPOP-CMA-ES,0,19,21.9238
F01-Sphere,IPOP-CMA-ES,0,20,4.20164
F01-Sphere,IPOP-CMA-ES,0,21,5.46842
F01-Sphere,IPOP-CMA-ES,0,22,4.88769
F01-Sphere,IPOP-CMA-ES,0,23,1.77985
F01-Sphere,IPOP-CMA-ES,0,24,15.8792
F01-Sphere,IPOP-CMA-ES,0,25,2.45996
F01-Sphere,IPOP-CMA-ES,0,26,4.91764
F01-Sphere,IPOP-CMA-ES,0,27,3.98535
F01-Sphere,IPOP-CMA-ES,0,28,3.56239
F01-Sphere,IPOP-CMA-ES,0,29,5.89864
F01-Sphere,IPOP-CMA-ES,0,30,0.753596
F01-Sphere,IPOP-CMA-ES,0,31,6.01543
F01-Sphere,IPOP-CMA-ES,0,32,2.93598
F01-Sphere,IPOP-CMA-ES,0,33,7.79213
F01-Sphere,IPOP-CMA-ES,0,34,1.51013
F01-Sphere,IPOP-CMA-ES,0,35,6.55947
F01-Sphere,IPOP-CMA-ES,0,36,5.31893
F01-Sphere,IPOP-CMA-ES,0,37,4.12076
F01-Sphere,IPOP-CMA-ES,0,38,12.2124
F01-Sphere,IPOP-CMA-ES,0,39,11.7412
F01-Sphere,IPOP-CMA-ES,0,40,0.589648
F01-Sphere,IPOP-CMA-ES,0,41,6.95343
F01-Sphere,IPOP-CMA-ES,0,42,17.2245
F01-Sphere,IPOP-CMA-ES,0,43,3.08553
F01-Sphere,IPOP-CMA-ES,0,44,7.04237
F01-Sphere,DE,0,15,4.70532
