function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,14,13,14,100,13,0,51,25,25,25,25,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,14,14,14,100,32,18,52,26,26,26,26,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,17,16,17,100,16,0,52,26,26,26,26,8.526512829121202e-14
N06-Shubert2D,18,0.1,3,20000,100,15,14,15,100,14,0,51,25,25,25,25,1.4210854715202004e-13
N06-Shubert2D,18,0.1,4,20000,100,13,13,13,100,13,0,52,26,26,26,26,1.4210854715202004e-13
N06-Shubert2D,18,0.1,5,20000,100,14,13,14,100,14,1,52,26,26,26,25,8.526512829121202e-14
N06-Shubert2D,18,0.1,6,20000,100,16,15,16,100,15,0,52,26,26,26,26,1.1368683772161603e-13
N06-Shubert2D,18,0.1,7,20000,100,15,14,15,100,19,5,51,25,25,25,25,1.1368683772161603e-13
N06-Shubert2D,18,0.1,8,20000,100,15,14,15,100,16,2,51,25,25,25,23,8.526512829121202e-14
N06-Shubert2D,18,0.1,9,20000,100,12,12,12,100,29,17,52,26,26,26,26,8.526512829121202e-14
N06-Shubert2D,18,0.1,10,20000,100,17,17,17,100,17,0,51,25,25,25,25,8.526512829121202e-14
N06-Shubert2D,18,0.1,11,20000,100,16,16,16,100,32,16,53,27,27,27,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,12,20000,100,13,13,13,100,13,0,52,26,26,26,26,1.4210854715202004e-13
N06-Shubert2D,18,0.1,13,20000,100,12,12,12,100,19,7,52,26,26,26,25,8.526512829121202e-14
N06-Shubert2D,18,0.1,14,20000,100,14,14,14,100,15,1,51,25,25,25,24,1.4210854715202004e-13
N06-Shubert2D,18,0.001,0,20000,100,13,13,13,100,13,0,51,25,25,25,25,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,14,14,14,100,32,18,52,26,26,26,25,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,100,16,16,16,100,16,0,52,26,26,26,26,8.526512829121202e-14
N06-Shubert2D,18,0.001,3,20000,100,13,13,13,100,14,1,51,25,25,25,25,1.4210854715202004e-13
N06-Shubert2D,18,0.001,4,20000,100,13,13,13,100,13,0,52,26,26,26,26,1.4210854715202004e-13
N06-Shubert2D,18,0.001,5,20000,100,14,13,14,100,14,1,52,26,26,26,25,8.526512829121202e-14
N06-Shubert2D,18,0.001,6,20000,100,15,15,15,100,15,0,52,26,26,26,26,1.1368683772161603e-13
N06-Shubert2D,18,0.001,7,20000,100,14,13,14,100,19,6,51,25,25,25,23,1.1368683772161603e-13
N06-Shubert2D,18,0.001,8,20000,100,13,13,13,100,16,3,51,25,25,25,23,8.526512829121202e-14
N06-Shubert2D,18,0.001,9,20000,100,12,12,12,100,29,17,52,26,26,26,26,8.526512829121202e-14
N06-Shubert2D,18,0.001,10,20000,100,17,17,17,100,17,0,51,25,25,25,25,8.526512829121202e-14
N06-Shubert2D,18,0.001,11,20000,100,16,16,16,100,32,16,53,27,27,27,27,8.526512829121202e-14
N06-Shubert2D,18,0.001,12,20000,100,13,13,13,100,13,0,52,26,26,26,25,1.4210854715202004e-13
N06-Shubert2D,18,0.001,13,20000,100,12,12,12,100,19,7,52,26,26,26,25,8.526512829121202e-14
N06-Shubert2D,18,0.001,14,20000,100,14,14,14,100,15,1,51,25,25,25,24,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,0,20000,100,13,13,13,100,13,0,51,25,25,25,25,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,1,20000,100,14,14,14,100,32,18,52,26,26,26,25,8.526512829121202e-14
N06-Shubert2D,18,1e-05,2,20000,100,16,16,16,100,16,0,52,26,26,26,26,8.526512829121202e-14
N06-Shubert2D,18,1e-05,3,20000,100,13,13,13,100,14,1,51,25,25,25,25,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,4,20000,100,13,13,13,100,13,0,52,26,26,26,26,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,5,20000,100,13,13,13,100,14,1,52,26,26,26,25,8.526512829121202e-14
N06-Shubert2D,18,1e-05,6,20000,100,15,15,15,100,15,0,52,26,26,26,26,1.1368683772161603e-13
N06-Shubert2D,18,1e-05,7,20000,100,12,12,12,100,19,7,51,25,25,25,22,1.1368683772161603e-13
N06-Shubert2D,18,1e-05,8,20000,100,13,13,13,100,16,3,51,25,25,25,23,8.526512829121202e-14
N06-Shubert2D,18,1e-05,9,20000,100,12,12,12,100,29,17,52,26,26,26,26,8.526512829121202e-14
N06-Shubert2D,18,1e-05,10,20000,100,17,17,17,100,17,0,51,25,25,25,25,8.526512829121202e-14
N06-Shubert2D,18,1e-05,11,20000,100,16,16,16,100,32,16,53,27,27,27,27,8.526512829121202e-14
N06-Shubert2D,18,1e-05,12,20000,100,13,13,13,100,13,0,52,26,26,26,25,1.4210854715202004e-13
N06-Shubert2D,18,1e-05,13,20000,100,12,12,12,100,19,7,52,26,26,26,25,8.526512829121202e-14
N06-Shubert2D,18,1e-05,14,20000,100,14,14,14,100,15,1,51,25,25,25,23,1.4210854715202004e-13
