function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N07-Vincent2D,36,0.1,3,20000,100,36,17,36,100,17,0,75,49,49,49,49,0.0
N07-Vincent2D,36,0.1,4,20000,100,36,19,36,100,22,3,73,47,47,47,47,0.0
N07-Vincent2D,36,0.1,5,20000,100,36,17,36,100,17,0,79,53,53,53,53,0.0
N07-Vincent2D,36,0.1,6,20000,100,36,16,36,100,35,19,77,51,51,51,48,0.0
N07-Vincent2D,36,0.1,7,20000,100,36,16,36,100,30,14,74,48,48,48,48,0.0
N07-Vincent2D,36,0.1,8,20000,100,36,20,36,100,22,2,80,54,54,54,53,0.0
N07-Vincent2D,36,0.1,9,20000,100,36,17,36,100,17,0,71,45,45,45,45,0.0
N07-Vincent2D,36,0.1,10,20000,100,36,18,36,100,25,7,79,53,53,53,52,0.0
N07-Vincent2D,36,0.1,11,20000,100,36,13,36,100,13,0,75,49,49,49,49,0.0
N07-Vincent2D,36,0.1,12,20000,100,36,12,36,100,12,0,68,42,42,42,42,0.0
N07-Vincent2D,36,0.1,13,20000,100,36,15,36,100,15,0,76,50,50,50,50,0.0
N07-Vincent2D,36,0.1,14,20000,100,36,17,36,100,22,5,76,50,50,50,50,0.0
N07-Vincent2D,36,0.001,0,20000,100,20,20,20,100,24,4,79,53,53,53,50,0.0
N07-Vincent2D,36,0.001,1,20000,100,19,18,19,100,20,2,76,50,50,50,48,0.0
N07-Vincent2D,36,0.001,2,20000,100,13,11,13,100,11,0,72,46,46,46,46,0.0
N07-Vincent2D,36,0.001,3,20000,100,19,17,19,100,17,0,75,49,49,49,49,0.0
N07-Vincent2D,36,0.001,4,20000,100,19,16,19,100,22,6,73,47,47,47,44,0.0
N07-Vincent2D,36,0.001,5,20000,100,19,17,19,100,17,0,79,53,53,53,53,0.0
N07-Vincent2D,36,0.001,6,20000,100,14,14,14,100,35,21,77,51,51,51,45,0.0
N07-Vincent2D,36,0.001,7,20000,100,14,14,14,100,30,16,74,48,48,48,45,0.0
N07-Vincent2D,36,0.001,8,20000,100,21,20,21,100,22,2,80,54,54,54,51,0.0
N07-Vincent2D,36,0.001,9,20000,100,17,17,17,100,17,0,71,45,45,45,44,0.0
N07-Vincent2D,36,0.001,10,20000,100,18,18,18,100,25,7,79,53,53,53,51,0.0
N07-Vincent2D,36,0.001,11,20000,100,15,13,15,100,13,0,75,49,49,49,47,0.0
N07-Vincent2D,36,0.001,12,20000,100,16,12,16,100,12,0,68,42,42,42,41,0.0
N07-Vincent2D,36,0.001,13,20000,100,15,15,15,100,15,0,76,50,50,50,46,0.0
N07-Vincent2D,36,0.001,14,20000,100,20,17,20,100,22,5,76,50,50,50,50,0.0
N07-Vincent2D,36,1e-05,0,20000,100,19,19,19,100,24,5,79,53,53,53,49,0.0
N07-Vincent2D,36,1e-05,1,20000,100,17,17,17,100,20,3,76,50,50,50,45,0.0
N07-Vincent2D,36,1e-05,2,20000,100,11,10,11,100,11,1,72,46,46,46,42,0.0
N07-Vincent2D,36,1e-05,3,20000,100,17,17,17,100,17,0,75,49,49,49,49,0.0
N07-Vincent2D,36,1e-05,4,20000,100,15,15,15,100,22,7,73,47,47,47,40,0.0
N07-Vincent2D,36,1e-05,5,20000,100,17,17,17,100,17,0,79,53,53,53,52,0.0
N07-Vincent2D,36,1e-05,6,20000,100,14,14,14,100,35,21,77,51,51,51,45,0.0
N07-Vincent2D,36,1e-05,7,20000,100,14,14,14,100,30,16,74,48,48,48,43,0.0
N07-Vincent2D,36,1e-05,8,20000,100,20,20,20,100,22,2,80,54,54,54,50,0.0
N07-Vincent2D,36,1e-05,9,20000,100,17,17,17,100,17,0,71,45,45,45,40,0.0
N07-Vincent2D,36,1e-05,10,20000,100,18,18,18,100,25,7,79,53,53,53,50,0.0
N07-Vincent2D,36,1e-05,11,20000,100,13,13,13,100,13,0,75,49,49,49,45,0.0
N07-Vincent2D,36,1e-05,12,20000,100,11,11,11,100,12,1,68,42,42,42,35,0.0
N07-Vincent2D,36,1e-05,13,20000,100,12,12,12,100,15,3,76,50,50,50,42,0.0
N07-Vincent2D,36,1e-05,14,20000,100,18,17,18,100,22,5,76,50,50,50,49,0.0
