function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N06-Shubert2D,18,0.1,0,20000,100,15,15,-1,-1,19,4,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.1,1,20000,100,15,15,-1,-1,17,2,54,28,28,28,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,2,20000,100,16,16,-1,-1,17,1,57,31,31,31,30,8.526512829121202e-14
N06-Shubert2D,18,0.1,3,20000,100,15,12,-1,-1,14,2,54,28,28,28,26,1.4210854715202004e-13
N06-Shubert2D,18,0.1,4,20000,100,15,15,-1,-1,27,12,58,32,32,32,31,1.4210854715202004e-13
N06-Shubert2D,18,0.1,5,20000,100,16,16,-1,-1,18,2,57,31,31,31,29,8.526512829121202e-14
N06-Shubert2D,18,0.1,6,20000,100,14,14,-1,-1,20,6,56,30,30,30,30,1.1368683772161603e-13
N06-Shubert2D,18,0.1,7,20000,100,16,15,-1,-1,28,13,54,28,28,28,27,1.1368683772161603e-13
N06-Shubert2D,18,0.1,8,20000,100,15,13,-1,-1,32,19,55,29,29,29,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,9,20000,100,14,13,-1,-1,13,0,55,29,29,29,29,8.526512829121202e-14
N06-Shubert2D,18,0.1,10,20000,100,17,17,-1,-1,21,4,55,29,29,29,29,8.526512829121202e-14
N06-Shubert2D,18,0.1,11,20000,100,15,14,-1,-1,14,0,56,30,30,30,30,8.526512829121202e-14
N06-Shubert2D,18,0.1,12,20000,100,16,16,-1,-1,16,0,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.1,13,20000,100,16,16,-1,-1,28,12,56,30,30,30,30,8.526512829121202e-14
N06-Shubert2D,18,0.1,14,20000,100,15,15,-1,-1,15,0,56,30,30,30,30,1.4210854715202004e-13
N06-Shubert2D,18,0.1,15,20000,100,15,14,-1,-1,21,7,55,29,29,29,28,8.526512829121202e-14
N06-Shubert2D,18,0.1,16,20000,100,16,16,-1,-1,16,0,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.1,17,20000,100,16,16,-1,-1,24,8,55,29,29,29,29,1.1368683772161603e-13
N06-Shubert2D,18,0.1,18,20000,100,15,15,-1,-1,15,0,53,27,27,27,27,8.526512829121202e-14
N06-Shubert2D,18,0.1,19,20000,100,14,14,-1,-1,15,1,55,29,29,29,28,5.684341886080802e-14
N06-Shubert2D,18,0.1,20,20000,100,14,14,-1,-1,22,8,54,28,28,28,28,8.526512829121202e-14
N06-Shubert2D,18,0.1,21,20000,100,15,15,-1,-1,35,20,56,30,30,30,28,1.7053025658242404e-13
N06-Shubert2D,18,0.1,22,20000,100,15,15,-1,-1,36,21,55,29,28,29,28,8.526512829121202e-14
N06-Shubert2D,18,0.1,23,20000,100,16,16,-1,-1,32,16,56,30,30,30,30,8.526512829121202e-14
N06-Shubert2D,18,0.1,24,20000,100,15,15,-1,-1,15,0,57,31,31,31,31,8.526512829121202e-14
N06-Shubert2D,18,0.1,25,20000,100,14,14,-1,-1,32,18,56,30,30,30,30,8.526512829121202e-14
N06-Shubert2D,18,0.1,26,20000,100,16,15,-1,-1,15,0,54,28,28,28,28,1.4210854715202004e-13
N06-Shubert2D,18,0.1,27,20000,100,12,11,-1,-1,12,1,54,28,28,28,28,1.1368683772161603e-13
N06-Shubert2D,18,0.1,28,20000,100,17,16,-1,-1,29,13,56,30,30,30,30,1.1368683772161603e-13
N06-Shubert2D,18,0.1,29,20000,100,13,12,-1,-1,30,18,55,29,29,29,28,1.4210854715202004e-13
N06-Shubert2D,18,0.001,0,20000,100,15,15,-1,-1,19,4,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.001,1,20000,100,15,15,-1,-1,17,2,54,28,28,28,27,8.526512829121202e-14
N06-Shubert2D,18,0.001,2,20000,100,16,16,-1,-1,17,1,57,31,31,31,30,8.526512829121202e-14
N06-Shubert2D,18,0.001,3,20000,100,12,12,-1,-1,14,2,54,28,28,28,26,1.4210854715202004e-13
N06-Shubert2D,18,0.001,4,20000,100,15,15,-1,-1,27,12,58,32,32,32,31,1.4210854715202004e-13
N06-Shubert2D,18,0.001,5,20000,100,16,16,-1,-1,18,2,57,31,31,31,29,8.526512829121202e-14
N06-Shubert2D,18,0.001,6,20000,100,14,14,-1,-1,20,6,56,30,30,30,30,1.1368683772161603e-13
N06-Shubert2D,18,0.001,7,20000,100,15,15,-1,-1,28,13,54,28,28,28,27,1.1368683772161603e-13
N06-Shubert2D,18,0.001,8,20000,100,14,13,-1,-1,32,19,55,29,29,29,27,8.526512829121202e-14
N06-Shubert2D,18,0.001,9,20000,100,12,12,-1,-1,13,1,55,29,29,29,29,8.526512829121202e-14
N06-Shubert2D,18,0.001,10,20000,100,17,17,-1,-1,21,4,55,29,29,29,29,8.526512829121202e-14
N06-Shubert2D,18,0.001,11,20000,100,14,14,-1,-1,14,0,56,30,30,30,30,8.526512829121202e-14
N06-Shubert2D,18,0.001,12,20000,100,16,16,-1,-1,16,0,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.001,13,20000,100,16,16,-1,-1,28,12,56,30,30,30,30,8.526512829121202e-14
N06-Shubert2D,18,0.001,14,20000,100,15,15,-1,-1,15,0,56,30,30,30,30,1.4210854715202004e-13
N06-Shubert2D,18,0.001,15,20000,100,14,14,-1,-1,21,7,55,29,29,29,28,8.526512829121202e-14
N06-Shubert2D,18,0.001,16,20000,100,16,16,-1,-1,16,0,55,29,29,29,29,1.4210854715202004e-13
N06-Shubert2D,18,0.001,17,20000,100,16,16,-1,-1,24,8,55,29,29,29,29,1.1368683772161603e-13
N06-Shubert2D,18,0.001,18,20000,100,15,15,-1,-1,15,0,53,27,27,27,27,8.526512829121202e-14
N06-Shubert2D,18,0.001,19,20000,100,14,14,-1,-1,15,1,55,29,29,29,28,5.684341886080802e-14
N06-Shubert2D,18,0.001,20,20000,100,14,14,-1,-1,22,8,54,28,28,28,28,8.526512829121202e-14
N06-Shubert2D,18,0.001,21,20000,100,15,15,-1,-1,35,20,56,30,30,30,28,1.7053025658242404e-13
N06-Shubert2D,18,0.001,22,20000,100,15,15,-1,-1,36,21,55,29,28,29,28,8.526512829121202e-14
N06-Shubert2D,18,0.001,23,20000,100,16,16,-1,-1,32,16,56,30,30,30,30,8.526512829121202e-14
N06-Shubert2D,18,0.001,24,20000,100,15,15,-1,-1,15,0,57,31,31,31,31,8.526512829121202e-14
N06-Shubert2D,18,0.001,25,20000,100,14,14,-1,-1,32,18,56,30,30,30,30,8.526512829121202e-14
N06-Shubert2D,18,0.001,26,20000,100,15,14,-1,-1,15,1,54,28,28,28,28,1.4210854715202004e-13
N06-Shubert2D,18,0.001,27,20000,100,11,11,-1,-1,12,1,54,28,28,28,28,1.1368683772161603e-13
N06-Shubert2D,18,0.001,28,20000,100,16,16,-1,-1,29,13,56,30,30,30,30,1.1368683772161603e-13
N06-Shubert2D,18,0.001,29,20000,100,12,12,-1,-1,30,18,55,29,29,29,28,1.4210854715202004e-13
